epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.96,2.27077,3.17416,2.18285,0.32288,0.16846,0.15186,0.05018,2.44677,2.73913,2.15727,0.0669673,0.000199624,0.000199624
2,847.827,1.97905,2.74363,1.9648,0.28046,0.25378,0.17572,0.05169,2.76373,2.94349,2.48816,0.0338342,0.000399831,0.000399831
3,1267.88,1.8918,2.59909,1.90941,0.35062,0.31544,0.25999,0.12472,1.91107,2.37238,1.91796,0.00070095,0.000599939,0.000599939
4,1690.91,1.84189,2.5326,1.86627,0.36372,0.29735,0.25481,0.11501,1.84347,2.41564,1.82646,0.000600363,0.000600363,0.000600363
5,2109.67,1.79316,2.48279,1.83872,0.37663,0.31949,0.28804,0.14189,1.69986,2.2415,1.71448,0.000600106,0.000600106,0.000600106
6,2527.99,1.74429,2.41859,1.79611,0.39066,0.33615,0.2999,0.15176,1.69115,2.28327,1.7165,0.000599776,0.000599776,0.000599776
7,2945.95,1.715,2.39539,1.77439,0.44707,0.33365,0.32218,0.17562,1.58953,2.19888,1.7166,0.000599373,0.000599373,0.000599373
8,3367.36,1.65142,2.3582,1.73355,0.47365,0.36784,0.36049,0.20736,1.32417,2.05795,1.49251,0.000598897,0.000598897,0.000598897
9,3789.22,1.66544,2.31841,1.72826,0.45689,0.38329,0.366,0.21282,1.29269,2.10046,1.49045,0.000598348,0.000598348,0.000598348
10,4212.05,1.62403,2.26361,1.71091,0.44767,0.37853,0.36044,0.20119,1.41189,2.10172,1.53447,0.000597726,0.000597726,0.000597726
11,4632.36,1.61763,2.24712,1.70174,0.45731,0.3615,0.35682,0.1995,1.45468,2.04312,1.55914,0.000597032,0.000597032,0.000597032
12,5047.12,1.58342,2.23559,1.67064,0.45143,0.38114,0.36022,0.21388,1.33779,2.10599,1.51854,0.000596265,0.000596265,0.000596265
13,5464.52,1.58979,2.2062,1.68209,0.47352,0.4095,0.38702,0.2368,1.26301,1.92104,1.45761,0.000595426,0.000595426,0.000595426
14,5879.06,1.56678,2.21471,1.6644,0.46036,0.39031,0.3771,0.22553,1.3962,1.99146,1.50324,0.000594515,0.000594515,0.000594515
15,6294.32,1.54824,2.15278,1.65375,0.50597,0.41602,0.41398,0.25559,1.23389,1.85829,1.44139,0.000593532,0.000593532,0.000593532
16,6708.55,1.50425,2.1127,1.62511,0.4906,0.41053,0.40512,0.24447,1.31649,1.8859,1.47607,0.000592477,0.000592477,0.000592477
17,7128.35,1.52413,2.11161,1.64435,0.49522,0.40186,0.39663,0.2093,1.63048,1.96296,1.67827,0.000591351,0.000591351,0.000591351
